symbol,status,baseAsset,quoteAsset
WAXPBNB,BREAK,WAXP,BNB
WAXPBTC,TRADING,WAXP,BTC
TRIBEBTC,BREAK,TRIBE,BTC
TRIBEBNB,BREAK,TRIBE,BNB
TRIBEBUSD,BREAK,TRIBE,BUSD
TRIBEUSDT,BREAK,TRIBE,USDT
GNOUSDT,TRADING,GNO,USDT
GNOBUSD,BREAK,GNO,BUSD
GNOBNB,BREAK,GNO,BNB
GNOBTC,BREAK,GNO,BTC
ARPATRY,TRADING,ARPA,TRY
PROMBTC,BREAK,PROM,BTC
MTLBUSD,BREAK,MTL,BUSD
OGNBUSD,BREAK,OGN,BUSD
XECUSDT,TRADING,XEC,USDT
C98BRL,BREAK,C98,BRL
SOLAUD,BREAK,SOL,AUD
XRPBIDR,BREAK,XRP,BIDR
POLYBUSD,BREAK,POLY,BUSD
ELFUSDT,BREAK,ELF,USDT
DYDXUSDT,TRADING,DYDX,USDT
DYDXBUSD,BREAK,DYDX,BUSD
DYDXBNB,BREAK,DYDX,BNB
DYDXBTC,TRADING,DYDX,BTC
ELFBUSD,BREAK,ELF,BUSD
POLYUSDT,BREAK,POLY,USDT
IDEXUSDT,TRADING,IDEX,USDT
VIDTUSDT,BREAK,VIDT,USDT
SOLBIDR,BREAK,SOL,BIDR
BTCUSDP,BREAK,BTC,USDP
ETHUSDP,BREAK,ETH,USDP
BNBUSDP,BREAK,BNB,USDP
USDPBUSD,BREAK,USDP,BUSD
USDPUSDT,TRADING,USDP,USDT
GALAUSDT,TRADING,GALA,USDT
GALABUSD,BREAK,GALA,BUSD
GALABNB,BREAK,GALA,BNB
GALABTC,TRADING,GALA,BTC
FTMBIDR,BREAK,FTM,BIDR
ALGOBIDR,BREAK,ALGO,BIDR
CAKEAUD,BREAK,CAKE,AUD
KSMAUD,BREAK,KSM,AUD
WAVESRUB,BREAK,WAVES,RUB
SUNBUSD,BREAK,SUN,BUSD
ILVUSDT,TRADING,ILV,USDT
ILVBUSD,BREAK,ILV,BUSD
ILVBNB,BREAK,ILV,BNB
ILVBTC,TRADING,ILV,BTC
RENBUSD,BREAK,REN,BUSD
YGGUSDT,TRADING,YGG,USDT
YGGBUSD,BREAK,YGG,BUSD
YGGBNB,BREAK,YGG,BNB
YGGBTC,TRADING,YGG,BTC
STXBUSD,BREAK,STX,BUSD
SYSUSDT,TRADING,SYS,USDT
DFUSDT,TRADING,DF,USDT
SOLUSDC,TRADING,SOL,USDC
ARPARUB,BREAK,ARPA,RUB
LTCUAH,BREAK,LTC,UAH
FETBUSD,BREAK,FET,BUSD
ARPABUSD,BREAK,ARPA,BUSD
LSKBUSD,BREAK,LSK,BUSD
AVAXBIDR,BREAK,AVAX,BIDR
ALICEBIDR,BREAK,ALICE,BIDR
FIDAUSDT,TRADING,FIDA,USDT
FIDABUSD,BREAK,FIDA,BUSD
FIDABNB,BREAK,FIDA,BNB
FIDABTC,TRADING,FIDA,BTC
DENTBUSD,BREAK,DENT,BUSD
FRONTUSDT,BREAK,FRONT,USDT
CVPUSDT,BREAK,CVP,USDT
AGLDBTC,TRADING,AGLD,BTC
AGLDBNB,BREAK,AGLD,BNB
AGLDBUSD,BREAK,AGLD,BUSD
AGLDUSDT,TRADING,AGLD,USDT
RADBTC,BREAK,RAD,BTC
RADBNB,BREAK,RAD,BNB
RADBUSD,BREAK,RAD,BUSD
RADUSDT,TRADING,RAD,USDT
UNIAUD,BREAK,UNI,AUD
HIVEBUSD,BREAK,HIVE,BUSD
STPTBUSD,BREAK,STPT,BUSD
BETABTC,BREAK,BETA,BTC
BETABNB,BREAK,BETA,BNB
BETABUSD,BREAK,BETA,BUSD
BETAUSDT,BREAK,BETA,USDT
SHIBAUD,BREAK,SHIB,AUD
RAREBTC,TRADING,RARE,BTC
RAREBNB,BREAK,RARE,BNB
RAREBUSD,BREAK,RARE,BUSD
RAREUSDT,TRADING,RARE,USDT
AVAXBRL,TRADING,AVAX,BRL
AVAXAUD,BREAK,AVAX,AUD
LUNAAUD,BREAK,LUNA,AUD
TROYBUSD,BREAK,TROY,BUSD
AXSETH,TRADING,AXS,ETH
FTMETH,BREAK,FTM,ETH
SOLETH,TRADING,SOL,ETH
SSVBTC,TRADING,SSV,BTC
SSVETH,TRADING,SSV,ETH
LAZIOTRY,TRADING,LAZIO,TRY
LAZIOEUR,BREAK,LAZIO,EUR
LAZIOBTC,BREAK,LAZIO,BTC
LAZIOUSDT,TRADING,LAZIO,USDT
CHESSBTC,BREAK,CHESS,BTC
CHESSBNB,BREAK,CHESS,BNB
CHESSBUSD,BREAK,CHESS,BUSD
CHESSUSDT,TRADING,CHESS,USDT
FTMAUD,BREAK,FTM,AUD
FTMBRL,BREAK,FTM,BRL
SCRTBUSD,BREAK,SCRT,BUSD
ADXUSDT,TRADING,ADX,USDT
AUCTIONUSDT,TRADING,AUCTION,USDT
CELOBUSD,BREAK,CELO,BUSD
FTMRUB,BREAK,FTM,RUB
NUAUD,BREAK,NU,AUD
NURUB,BREAK,NU,RUB
REEFTRY,BREAK,REEF,TRY
REEFBIDR,BREAK,REEF,BIDR
SHIBDOGE,TRADING,SHIB,DOGE
DARUSDT,BREAK,DAR,USDT
DARBUSD,BREAK,DAR,BUSD
DARBNB,BREAK,DAR,BNB
DARBTC,BREAK,DAR,BTC
BNXBTC,BREAK,BNX,BTC
BNXBNB,BREAK,BNX,BNB
BNXBUSD,BREAK,BNX,BUSD
BNXUSDT,BREAK,BNX,USDT
RGTUSDT,BREAK,RGT,USDT
RGTBTC,BREAK,RGT,BTC
RGTBUSD,BREAK,RGT,BUSD
RGTBNB,BREAK,RGT,BNB
LAZIOBUSD,BREAK,LAZIO,BUSD
OXTBUSD,BREAK,OXT,BUSD
MANATRY,TRADING,MANA,TRY
ALGORUB,BREAK,ALGO,RUB
SHIBUAH,BREAK,SHIB,UAH
LUNABIDR,BREAK,LUNA,BIDR
AUDUSDC,BREAK,AUD,USDC
MOVRBTC,TRADING,MOVR,BTC
MOVRBNB,BREAK,MOVR,BNB
MOVRBUSD,BREAK,MOVR,BUSD
MOVRUSDT,TRADING,MOVR,USDT
CITYBTC,BREAK,CITY,BTC
CITYBNB,BREAK,CITY,BNB
CITYBUSD,BREAK,CITY,BUSD
CITYUSDT,TRADING,CITY,USDT
ENSBTC,TRADING,ENS,BTC
ENSBNB,BREAK,ENS,BNB
ENSBUSD,BREAK,ENS,BUSD
ENSUSDT,TRADING,ENS,USDT
SANDETH,BREAK,SAND,ETH
DOTETH,TRADING,DOT,ETH
MATICETH,BREAK,MATIC,ETH
ANKRBUSD,BREAK,ANKR,BUSD
SANDTRY,TRADING,SAND,TRY
MANABRL,BREAK,MANA,BRL
KP3RUSDT,BREAK,KP3R,USDT
QIUSDT,TRADING,QI,USDT
QIBUSD,BREAK,QI,BUSD
QIBNB,BREAK,QI,BNB
QIBTC,BREAK,QI,BTC
PORTOBTC,BREAK,PORTO,BTC
PORTOUSDT,TRADING,PORTO,USDT
PORTOTRY,TRADING,PORTO,TRY
PORTOEUR,BREAK,PORTO,EUR
POWRUSDT,TRADING,POWR,USDT
POWRBUSD,BREAK,POWR,BUSD
AVAXETH,TRADING,AVAX,ETH
SLPTRY,TRADING,SLP,TRY
FISTRY,BREAK,FIS,TRY
LRCTRY,TRADING,LRC,TRY
CHRETH,BREAK,CHR,ETH
FISBIDR,BREAK,FIS,BIDR
VGXUSDT,BREAK,VGX,USDT
GALAETH,TRADING,GALA,ETH
JASMYUSDT,TRADING,JASMY,USDT
JASMYBUSD,BREAK,JASMY,BUSD
JASMYBNB,BREAK,JASMY,BNB
JASMYBTC,BREAK,JASMY,BTC
AMPBTC,BREAK,AMP,BTC
AMPBNB,BREAK,AMP,BNB
AMPBUSD,BREAK,AMP,BUSD
AMPUSDT,TRADING,AMP,USDT
PLABTC,BREAK,PLA,BTC
PLABNB,BREAK,PLA,BNB
PLABUSD,BREAK,PLA,BUSD
PLAUSDT,BREAK,PLA,USDT
PYRBTC,TRADING,PYR,BTC
PYRBUSD,BREAK,PYR,BUSD
PYRUSDT,TRADING,PYR,USDT
RNDRBTC,BREAK,RNDR,BTC
RNDRUSDT,BREAK,RNDR,USDT
RNDRBUSD,BREAK,RNDR,BUSD
ALCXBTC,BREAK,ALCX,BTC
ALCXBUSD,BREAK,ALCX,BUSD
ALCXUSDT,TRADING,ALCX,USDT
SANTOSBTC,TRADING,SANTOS,BTC
SANTOSUSDT,TRADING,SANTOS,USDT
SANTOSBRL,BREAK,SANTOS,BRL
SANTOSTRY,TRADING,SANTOS,TRY
MCBTC,BREAK,MC,BTC
MCBUSD,BREAK,MC,BUSD
MCUSDT,BREAK,MC,USDT
BELTRY,TRADING,BEL,TRY
COCOSBUSD,BREAK,COCOS,BUSD
DENTTRY,TRADING,DENT,TRY
ENJTRY,TRADING,ENJ,TRY
NEORUB,BREAK,NEO,RUB
SANDAUD,BREAK,SAND,AUD
SLPBIDR,BREAK,SLP,BIDR
ANYBTC,BREAK,ANY,BTC
ANYBUSD,BREAK,ANY,BUSD
ANYUSDT,BREAK,ANY,USDT
BICOBTC,TRADING,BICO,BTC
BICOBUSD,BREAK,BICO,BUSD
BICOUSDT,TRADING,BICO,USDT
FLUXBTC,TRADING,FLUX,BTC
FLUXBUSD,BREAK,FLUX,BUSD
FLUXUSDT,TRADING,FLUX,USDT
ALICETRY,TRADING,ALICE,TRY
FXSUSDT,TRADING,FXS,USDT
GALABRL,TRADING,GALA,BRL
GALATRY,TRADING,GALA,TRY
LUNATRY,TRADING,LUNA,TRY
REQBUSD,BREAK,REQ,BUSD
SANDBRL,BREAK,SAND,BRL
MANABIDR,BREAK,MANA,BIDR
SANDBIDR,BREAK,SAND,BIDR
VOXELBTC,BREAK,VOXEL,BTC
VOXELBNB,BREAK,VOXEL,BNB
VOXELBUSD,BREAK,VOXEL,BUSD
VOXELUSDT,TRADING,VOXEL,USDT
COSBUSD,BREAK,COS,BUSD
CTXCBUSD,BREAK,CTXC,BUSD
FTMTRY,BREAK,FTM,TRY
MANABNB,BREAK,MANA,BNB
MINATRY,TRADING,MINA,TRY
XTZTRY,BREAK,XTZ,TRY
HIGHBTC,BREAK,HIGH,BTC
HIGHBUSD,BREAK,HIGH,BUSD
HIGHUSDT,TRADING,HIGH,USDT
CVXBTC,BREAK,CVX,BTC
CVXBUSD,BREAK,CVX,BUSD
CVXUSDT,TRADING,CVX,USDT
PEOPLEBTC,TRADING,PEOPLE,BTC
PEOPLEBUSD,BREAK,PEOPLE,BUSD
PEOPLEUSDT,TRADING,PEOPLE,USDT
OOKIBUSD,BREAK,OOKI,BUSD
OOKIUSDT,BREAK,OOKI,USDT
COCOSTRY,BREAK,COCOS,TRY
GXSBNB,BREAK,GXS,BNB
LINKBNB,TRADING,LINK,BNB
LUNAETH,BREAK,LUNA,ETH
MDTBUSD,BREAK,MDT,BUSD
NULSBUSD,BREAK,NULS,BUSD
SPELLBTC,BREAK,SPELL,BTC
SPELLUSDT,TRADING,SPELL,USDT
SPELLBUSD,BREAK,SPELL,BUSD
USTBTC,BREAK,UST,BTC
USTBUSD,BREAK,UST,BUSD
USTUSDT,BREAK,UST,USDT
JOEBTC,TRADING,JOE,BTC
JOEBUSD,BREAK,JOE,BUSD
JOEUSDT,TRADING,JOE,USDT
ATOMETH,TRADING,ATOM,ETH
DUSKBUSD,BREAK,DUSK,BUSD
EGLDETH,TRADING,EGLD,ETH
ICPETH,TRADING,ICP,ETH
LUNABRL,BREAK,LUNA,BRL
LUNAUST,BREAK,LUNA,UST
NEARETH,TRADING,NEAR,ETH
ROSEBNB,BREAK,ROSE,BNB
VOXELETH,BREAK,VOXEL,ETH
ALICEBNB,BREAK,ALICE,BNB
ATOMTRY,TRADING,ATOM,TRY
ETHUST,BREAK,ETH,UST
GALAAUD,BREAK,GALA,AUD
LRCBNB,BREAK,LRC,BNB
ONEETH,BREAK,ONE,ETH
OOKIBNB,BREAK,OOKI,BNB
ACHBTC,TRADING,ACH,BTC
ACHBUSD,BREAK,ACH,BUSD
ACHUSDT,TRADING,ACH,USDT
IMXBTC,TRADING,IMX,BTC
IMXBUSD,BREAK,IMX,BUSD
IMXUSDT,TRADING,IMX,USDT
GLMRBTC,TRADING,GLMR,BTC
GLMRBUSD,BREAK,GLMR,BUSD
GLMRUSDT,TRADING,GLMR,USDT
ATOMBIDR,BREAK,ATOM,BIDR
DYDXETH,BREAK,DYDX,ETH
FARMETH,BREAK,FARM,ETH
FORBNB,BREAK,FOR,BNB
ICPTRY,TRADING,ICP,TRY
JASMYETH,BREAK,JASMY,ETH
LINABNB,BREAK,LINA,BNB
OOKIETH,BREAK,OOKI,ETH
ROSEETH,BREAK,ROSE,ETH
UMABUSD,BREAK,UMA,BUSD
UNIETH,TRADING,UNI,ETH
XTZETH,BREAK,XTZ,ETH
LOKABTC,TRADING,LOKA,BTC
LOKABNB,BREAK,LOKA,BNB
LOKABUSD,BREAK,LOKA,BUSD
LOKAUSDT,TRADING,LOKA,USDT
ATOMBRL,BREAK,ATOM,BRL
BNBUST,BREAK,BNB,UST
CRVETH,BREAK,CRV,ETH
HIGHBNB,BREAK,HIGH,BNB
NEARRUB,BREAK,NEAR,RUB
ROSETRY,TRADING,ROSE,TRY
SCRTUSDT,TRADING,SCRT,USDT
API3BTC,TRADING,API3,BTC
API3BUSD,BREAK,API3,BUSD
API3USDT,TRADING,API3,USDT
BTTCUSDT,TRADING,BTTC,USDT
BTTCUSDC,BREAK,BTTC,USDC
BTTCTRY,TRADING,BTTC,TRY
ACABTC,BREAK,ACA,BTC
ACABUSD,BREAK,ACA,BUSD
ACAUSDT,TRADING,ACA,USDT
ANCBTC,BREAK,ANC,BTC
ANCBUSD,BREAK,ANC,BUSD
ANCUSDT,BREAK,ANC,USDT
BDOTDOT,BREAK,BDOT,DOT
XNOBTC,TRADING,XNO,BTC
XNOETH,BREAK,XNO,ETH
XNOBUSD,BREAK,XNO,BUSD
XNOUSDT,TRADING,XNO,USDT
COSTRY,TRADING,COS,TRY
KAVAETH,BREAK,KAVA,ETH
MCBNB,BREAK,MC,BNB
ONETRY,TRADING,ONE,TRY
WOOBTC,BREAK,WOO,BTC
WOOBNB,BREAK,WOO,BNB
WOOBUSD,BREAK,WOO,BUSD
WOOUSDT,TRADING,WOO,USDT
CELRETH,BREAK,CELR,ETH
PEOPLEBNB,BREAK,PEOPLE,BNB
SLPBNB,BREAK,SLP,BNB
SPELLBNB,BREAK,SPELL,BNB
SPELLTRY,TRADING,SPELL,TRY
TFUELBUSD,BREAK,TFUEL,BUSD
AXSTRY,TRADING,AXS,TRY
DARTRY,BREAK,DAR,TRY
NEARTRY,TRADING,NEAR,TRY
IDEXBNB,BREAK,IDEX,BNB
ALPINEEUR,BREAK,ALPINE,EUR
ALPINETRY,TRADING,ALPINE,TRY
ALPINEUSDT,TRADING,ALPINE,USDT
ALPINEBTC,BREAK,ALPINE,BTC
TUSDT,TRADING,T,USDT
TBUSD,BREAK,T,BUSD
API3BNB,BREAK,API3,BNB
BETAETH,BREAK,BETA,ETH
INJTRY,TRADING,INJ,TRY
TLMBNB,BREAK,TLM,BNB
ASTRBUSD,BREAK,ASTR,BUSD
ASTRUSDT,TRADING,ASTR,USDT
API3TRY,TRADING,API3,TRY
GLMRBNB,BREAK,GLMR,BNB
MBOXTRY,TRADING,MBOX,TRY
GMTBTC,TRADING,GMT,BTC
GMTBNB,BREAK,GMT,BNB
GMTBUSD,BREAK,GMT,BUSD
GMTUSDT,TRADING,GMT,USDT
ANCBNB,BREAK,ANC,BNB
ATOMEUR,TRADING,ATOM,EUR
GALAEUR,TRADING,GALA,EUR
KSMETH,BREAK,KSM,ETH
UMATRY,TRADING,UMA,TRY
KDABTC,TRADING,KDA,BTC
KDABUSD,BREAK,KDA,BUSD
KDAUSDT,TRADING,KDA,USDT
APEUSDT,TRADING,APE,USDT
APEBUSD,BREAK,APE,BUSD
APEBTC,TRADING,APE,BTC
ALPINEBUSD,BREAK,ALPINE,BUSD
LUNAGBP,BREAK,LUNA,GBP
NEAREUR,TRADING,NEAR,EUR
TWTTRY,TRADING,TWT,TRY
WAVESEUR,BREAK,WAVES,EUR
APEEUR,BREAK,APE,EUR
APEGBP,BREAK,APE,GBP
APETRY,TRADING,APE,TRY
BSWUSDT,BREAK,BSW,USDT
BSWBUSD,BREAK,BSW,BUSD
BSWBNB,BREAK,BSW,BNB
APEBNB,BREAK,APE,BNB
GMTBRL,BREAK,GMT,BRL
GMTETH,BREAK,GMT,ETH
JASMYTRY,TRADING,JASMY,TRY
SANTOSBUSD,BREAK,SANTOS,BUSD
APEAUD,BREAK,APE,AUD
BIFIUSDT,TRADING,BIFI,USDT
GMTEUR,TRADING,GMT,EUR
IMXBNB,BREAK,IMX,BNB
RUNEETH,TRADING,RUNE,ETH
AVAXGBP,BREAK,AVAX,GBP
MULTIBTC,BREAK,MULTI,BTC
MULTIBUSD,BREAK,MULTI,BUSD
MULTIUSDT,BREAK,MULTI,USDT
APEETH,BREAK,APE,ETH
BSWETH,BREAK,BSW,ETH
FILTRY,TRADING,FIL,TRY
FTMEUR,BREAK,FTM,EUR
GMTGBP,BREAK,GMT,GBP
ZILTRY,TRADING,ZIL,TRY
GMTTRY,TRADING,GMT,TRY
WAVESTRY,BREAK,WAVES,TRY
BTCUST,BREAK,BTC,UST
ASTRBTC,TRADING,ASTR,BTC
ASTRETH,BREAK,ASTR,ETH
BSWTRY,BREAK,BSW,TRY
FTTETH,BREAK,FTT,ETH
FUNBNB,BREAK,FUN,BNB
PORTOBUSD,BREAK,PORTO,BUSD
STEEMUSDT,TRADING,STEEM,USDT
ZILEUR,BREAK,ZIL,EUR
APEBRL,BREAK,APE,BRL
AUDIOTRY,TRADING,AUDIO,TRY
BTTCBUSD,BREAK,BTTC,BUSD
GMTAUD,BREAK,GMT,AUD
MBLBUSD,BREAK,MBL,BUSD
MOBUSDT,BREAK,MOB,USDT
MOBBUSD,BREAK,MOB,BUSD
MOBBTC,BREAK,MOB,BTC
NEXOUSDT,TRADING,NEXO,USDT
NEXOBUSD,BREAK,NEXO,BUSD
NEXOBTC,TRADING,NEXO,BTC
REIUSDT,TRADING,REI,USDT
REIBNB,BREAK,REI,BNB
REIETH,BREAK,REI,ETH
GALUSDT,BREAK,GAL,USDT
GALBUSD,BREAK,GAL,BUSD
GALBNB,BREAK,GAL,BNB
GALBTC,BREAK,GAL,BTC
JASMYEUR,BREAK,JASMY,EUR
KNCBNB,BREAK,KNC,BNB
SHIBGBP,BREAK,SHIB,GBP
GALEUR,BREAK,GAL,EUR
GALTRY,BREAK,GAL,TRY
LDOBUSD,BREAK,LDO,BUSD
LDOUSDT,TRADING,LDO,USDT
LDOBTC,TRADING,LDO,BTC
ENSTRY,TRADING,ENS,TRY
DAREUR,BREAK,DAR,EUR
DARETH,BREAK,DAR,ETH
ALGOETH,BREAK,ALGO,ETH
ALGOTRY,TRADING,ALGO,TRY
GALETH,BREAK,GAL,ETH
EPXUSDT,BREAK,EPX,USDT
EPXBUSD,BREAK,EPX,BUSD
RUNETRY,BREAK,RUNE,TRY
GALBRL,BREAK,GAL,BRL
STEEMBUSD,BREAK,STEEM,BUSD
CVCBUSD,BREAK,CVC,BUSD
REIBUSD,BREAK,REI,BUSD
DREPBUSD,BREAK,DREP,BUSD
AKROBUSD,BREAK,AKRO,BUSD
PUNDIXBUSD,BREAK,PUNDIX,BUSD
LUNCBUSD,BREAK,LUNC,BUSD
USTCBUSD,BREAK,USTC,BUSD
OPBTC,TRADING,OP,BTC
OPBUSD,BREAK,OP,BUSD
OPUSDT,TRADING,OP,USDT
OGBUSD,BREAK,OG,BUSD
KEYBUSD,BREAK,KEY,BUSD
ASRBUSD,BREAK,ASR,BUSD
FIROBUSD,BREAK,FIRO,BUSD
NKNBUSD,BREAK,NKN,BUSD
OPBNB,BREAK,OP,BNB
OPEUR,TRADING,OP,EUR
GTOBUSD,BREAK,GTO,BUSD
SNXETH,BREAK,SNX,ETH
WBTCBUSD,BREAK,WBTC,BUSD
BELETH,BREAK,BEL,ETH
LITETH,BREAK,LIT,ETH
LEVERUSDT,BREAK,LEVER,USDT
LEVERBUSD,BREAK,LEVER,BUSD
BURGERETH,BREAK,BURGER,ETH
PEOPLEETH,BREAK,PEOPLE,ETH
UNFIETH,BREAK,UNFI,ETH
BONDETH,BREAK,BOND,ETH
STORJTRY,TRADING,STORJ,TRY
OPETH,TRADING,OP,ETH
ETCTRY,TRADING,ETC,TRY
WINGETH,BREAK,WING,ETH
FILETH,TRADING,FIL,ETH
GLMBUSD,BREAK,GLM,BUSD
SSVBUSD,BREAK,SSV,BUSD
STGBTC,TRADING,STG,BTC
STGBUSD,BREAK,STG,BUSD
STGUSDT,TRADING,STG,USDT
ANKRTRY,TRADING,ANKR,TRY
ARKBUSD,BREAK,ARK,BUSD
BETHBUSD,BREAK,BETH,BUSD
LOOMBUSD,BREAK,LOOM,BUSD
SNMBUSD,BREAK,SNM,BUSD
AMBBUSD,BREAK,AMB,BUSD
LUNCUSDT,TRADING,LUNC,USDT
PHBBUSD,BREAK,PHB,BUSD
GASBUSD,BREAK,GAS,BUSD
NEBLBUSD,BREAK,NEBL,BUSD
PROSBUSD,BREAK,PROS,BUSD
VIBBUSD,BREAK,VIB,BUSD
GMXBTC,BREAK,GMX,BTC
GMXBUSD,BREAK,GMX,BUSD
GMXUSDT,TRADING,GMX,USDT
AGIXBUSD,BREAK,AGIX,BUSD
NEBLUSDT,BREAK,NEBL,USDT
SNTBUSD,BREAK,SNT,BUSD
POLYXBTC,TRADING,POLYX,BTC
POLYXBUSD,BREAK,POLYX,BUSD
POLYXUSDT,TRADING,POLYX,USDT
APTBTC,TRADING,APT,BTC
APTUSDT,TRADING,APT,USDT
APTBUSD,BREAK,APT,BUSD
BTCPLN,TRADING,BTC,PLN
ETHPLN,TRADING,ETH,PLN
BUSDPLN,BREAK,BUSD,PLN
APTEUR,TRADING,APT,EUR
APTTRY,TRADING,APT,TRY
APTBRL,BREAK,APT,BRL
QKCBUSD,BREAK,QKC,BUSD
OSMOBTC,BREAK,OSMO,BTC
OSMOUSDT,TRADING,OSMO,USDT
OSMOBUSD,BREAK,OSMO,BUSD
HFTBTC,TRADING,HFT,BTC
HFTBUSD,BREAK,HFT,BUSD
HFTUSDT,TRADING,HFT,USDT
ARPAETH,BREAK,ARPA,ETH
PHBUSDT,TRADING,PHB,USDT
VITEBUSD,BREAK,VITE,BUSD
HOOKBTC,BREAK,HOOK,BTC
HOOKUSDT,TRADING,HOOK,USDT
HOOKBUSD,BREAK,HOOK,BUSD
HOOKBNB,BREAK,HOOK,BNB
MAGICBTC,TRADING,MAGIC,BTC
MAGICBUSD,BREAK,MAGIC,BUSD
MAGICUSDT,TRADING,MAGIC,USDT
BUSDRON,BREAK,BUSD,RON
HIFIETH,BREAK,HIFI,ETH
HIFIUSDT,TRADING,HIFI,USDT
RPLBTC,BREAK,RPL,BTC
RPLBUSD,BREAK,RPL,BUSD
RPLUSDT,TRADING,RPL,USDT
PROSUSDT,BREAK,PROS,USDT
FETTRY,TRADING,FET,TRY
GFTBUSD,BREAK,GFT,BUSD
AGIXUSDT,BREAK,AGIX,USDT
APTETH,TRADING,APT,ETH
BTCRON,TRADING,BTC,RON
GNSUSDT,TRADING,GNS,USDT
GNSBTC,BREAK,GNS,BTC
SYNBTC,BREAK,SYN,BTC
SYNUSDT,TRADING,SYN,USDT
VIBUSDT,BREAK,VIB,USDT
SSVUSDT,TRADING,SSV,USDT
LQTYUSDT,TRADING,LQTY,USDT
LQTYBTC,BREAK,LQTY,BTC
AMBUSDT,BREAK,AMB,USDT
BETHUSDT,BREAK,BETH,USDT
CFXTRY,TRADING,CFX,TRY
STXTRY,TRADING,STX,TRY
USTCUSDT,TRADING,USTC,USDT
GASUSDT,TRADING,GAS,USDT
GLMUSDT,TRADING,GLM,USDT
PROMUSDT,TRADING,PROM,USDT
QKCUSDT,TRADING,QKC,USDT
UFTUSDT,BREAK,UFT,USDT
IDBTC,TRADING,ID,BTC
IDBNB,BREAK,ID,BNB
IDUSDT,TRADING,ID,USDT
ARBBTC,TRADING,ARB,BTC
ARBUSDT,TRADING,ARB,USDT
AGIXTRY,BREAK,AGIX,TRY
LOOMUSDT,BREAK,LOOM,USDT
OAXUSDT,BREAK,OAX,USDT
ARBTUSD,TRADING,ARB,TUSD
ARBTRY,TRADING,ARB,TRY
ARBEUR,TRADING,ARB,EUR
IDTUSD,BREAK,ID,TUSD
IDTRY,TRADING,ID,TRY
IDEUR,BREAK,ID,EUR
LDOTUSD,BREAK,LDO,TUSD
MATICTUSD,BREAK,MATIC,TUSD
OPTUSD,BREAK,OP,TUSD
SOLTUSD,TRADING,SOL,TUSD
SSVTUSD,BREAK,SSV,TUSD
RDNTBTC,BREAK,RDNT,BTC
RDNTUSDT,TRADING,RDNT,USDT
RDNTTUSD,BREAK,RDNT,TUSD
ARBRUB,BREAK,ARB,RUB
JOETRY,BREAK,JOE,TRY
MAGICTRY,TRADING,MAGIC,TRY
USDTPLN,TRADING,USDT,PLN
ACHTRY,TRADING,ACH,TRY
XVSTRY,TRADING,XVS,TRY
EGLDRON,TRADING,EGLD,RON
USDTRON,BREAK,USDT,RON
USDTARS,TRADING,USDT,ARS
DOGETUSD,TRADING,DOGE,TUSD
WBTCUSDT,TRADING,WBTC,USDT
EDUUSDT,TRADING,EDU,USDT
EDUTUSD,BREAK,EDU,TUSD
EDUBNB,BREAK,EDU,BNB
EDUBTC,BREAK,EDU,BTC
EDUEUR,BREAK,EDU,EUR
EDUTRY,TRADING,EDU,TRY
SUIUSDT,TRADING,SUI,USDT
SUITUSD,BREAK,SUI,TUSD
SUIBTC,TRADING,SUI,BTC
SUIBNB,TRADING,SUI,BNB
SUIEUR,TRADING,SUI,EUR
SUITRY,TRADING,SUI,TRY
AERGOUSDT,BREAK,AERGO,USDT
RNDRTRY,BREAK,RNDR,TRY
PEPEUSDT,TRADING,PEPE,USDT
PEPETUSD,BREAK,PEPE,TUSD
FLOKIUSDT,TRADING,FLOKI,USDT
FLOKITUSD,BREAK,FLOKI,TUSD
OGTRY,TRADING,OG,TRY
PEPETRY,TRADING,PEPE,TRY
WBETHETH,TRADING,WBETH,ETH
ASTUSDT,BREAK,AST,USDT
SNTUSDT,BREAK,SNT,USDT
FLOKITRY,TRADING,FLOKI,TRY
CITYTRY,TRADING,CITY,TRY
COMBOUSDT,BREAK,COMBO,USDT
COMBOBNB,BREAK,COMBO,BNB
COMBOTRY,BREAK,COMBO,TRY
LTCTRY,TRADING,LTC,TRY
RADTRY,TRADING,RAD,TRY
BTCARS,TRADING,BTC,ARS
OPTRY,TRADING,OP,TRY
PAXGTRY,TRADING,PAXG,TRY
MAVBTC,TRADING,MAV,BTC
MAVUSDT,TRADING,MAV,USDT
MAVTUSD,BREAK,MAV,TUSD
CFXTUSD,BREAK,CFX,TUSD
PENDLEBTC,TRADING,PENDLE,BTC
PENDLEUSDT,TRADING,PENDLE,USDT
PENDLETUSD,BREAK,PENDLE,TUSD
MAVTRY,TRADING,MAV,TRY
OCEANTRY,BREAK,OCEAN,TRY
TUSDTRY,BREAK,TUSD,TRY
ARBETH,TRADING,ARB,ETH
BCHTRY,TRADING,BCH,TRY
XVGTRY,TRADING,XVG,TRY
XVGTUSD,BREAK,XVG,TUSD
ARKMUSDT,TRADING,ARKM,USDT
ARKMTUSD,BREAK,ARKM,TUSD
ARKMTRY,TRADING,ARKM,TRY
ARKMBNB,TRADING,ARKM,BNB
ARKMBTC,TRADING,ARKM,BTC
WBETHUSDT,TRADING,WBETH,USDT
ACATRY,TRADING,ACA,TRY
AVAXTUSD,BREAK,AVAX,TUSD
COMPTUSD,BREAK,COMP,TUSD
